Timestamp,Coin,Price,Currency
"05:14:42 PM, 11 Jul 2025",bitcoin,10107334,inr
"05:14:42 PM, 11 Jul 2025",solana,14078.47,inr
"05:14:42 PM, 11 Jul 2025",ethereum,256299,inr
"05:14:42 PM, 11 Jul 2025",dogecoin,17.08,inr
"05:15:58 PM, 11 Jul 2025",bitcoin,10106821,inr
"05:15:58 PM, 11 Jul 2025",solana,14076.63,inr
"05:15:58 PM, 11 Jul 2025",ethereum,256271,inr
"05:17:03 PM, 11 Jul 2025",bitcoin,10105987,inr
"05:17:03 PM, 11 Jul 2025",solana,14074.86,inr
"05:17:03 PM, 11 Jul 2025",ethereum,256148,inr
"05:17:03 PM, 11 Jul 2025",dogecoin,17.07,inr
